model,accuracy,precision,recall,f1_score,roc_auc
random_forest,0.9303146584804298,0.9772951628825272,0.6966924700914848,0.8134757600657354,0.9308144117888413
gradient_boosting,0.9231005372217959,0.944015444015444,0.6882477128782547,0.796092796092796,0.9206247667012868
logistic_regression,0.8107444359171143,0.5478128179043744,0.7579169598874033,0.6359610274579274,0.8635975815126018
